Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"0.721 [0.604,0.837]",2.431e-28,***,Creatinine
Total-PL,"0.618 [0.515,0.722]",2.654e-26,***,Total-Phospholipids in Lipoprotein Particles
Phosphoglyc,"0.612 [0.507,0.717]",4.446e-25,***,Phosphoglycerides
PC,"0.602 [0.496,0.707]",1.659e-23,***,Phosphatidylcholines
Cholines,"0.601 [0.495,0.706]",1.079e-23,***,Total-Cholines
SFA,"0.600 [0.499,0.701]",3.498e-26,***,Saturated Fatty Acids
Total-L,"0.575 [0.475,0.675]",5.309e-24,***,Total-Lipids in Lipoprotein Particles
SM,"0.567 [0.462,0.672]",8.569e-21,***,Sphingomyelins
S-HDL-FC,"0.549 [0.449,0.650]",2.941e-21,***,Free Cholesterol in Small HDL
Total-FA,"0.532 [0.432,0.633]",6.136e-20,***,Total-Fatty Acids
SFA%,"0.530 [0.429,0.631]",1.269e-19,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-L,"0.524 [0.423,0.625]",6.670e-19,***,Total-Lipids in Very Small VLDL
S-HDL-PL,"0.521 [0.420,0.621]",6.863e-19,***,Phospholipids in Small HDL
M-HDL-TG,"0.516 [0.415,0.616]",2.245e-18,***,Triglycerides in Medium HDL
Total-C,"0.516 [0.414,0.617]",7.062e-18,***,Total-Cholesterol
IDL-L,"0.514 [0.412,0.616]",1.111e-17,***,Total-Lipids in IDL
Total-FC,"0.514 [0.413,0.614]",4.312e-18,***,Total-Free Cholesterol
Total-CE,"0.513 [0.411,0.615]",1.713e-17,***,Total-Esterified Cholesterol
MUFA,"0.509 [0.407,0.610]",2.363e-17,***,Monounsaturated Fatty Acids
S-HDL-L,"0.506 [0.406,0.606]",7.251e-18,***,Total-Lipids in Small HDL
HDL-TG,"0.506 [0.405,0.606]",1.464e-17,***,Triglycerides in HDL
XS-VLDL-C,"0.504 [0.402,0.607]",8.391e-17,***,Cholesterol in Very Small VLDL
IDL-CE,"0.502 [0.400,0.604]",1.225e-16,***,Cholesteryl Esters in IDL
Total-P,"0.501 [0.396,0.606]",2.039e-15,***,Total-Concentration of Lipoprotein Particles
Remnant-C,"0.501 [0.402,0.601]",1.248e-17,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
XS-VLDL-CE,"0.500 [0.398,0.603]",3.099e-16,***,Cholesteryl Esters in Very Small VLDL
XS-VLDL-P,"0.500 [0.399,0.600]",4.839e-17,***,Concentration of Very Small VLDL Particles
XS-VLDL-FC,"0.494 [0.393,0.595]",2.169e-16,***,Free Cholesterol in Very Small VLDL
IDL-C,"0.489 [0.387,0.591]",1.503e-15,***,Cholesterol in IDL
IDL-PL,"0.486 [0.384,0.588]",2.807e-15,***,Phospholipids in IDL
L-HDL-TG,"0.484 [0.381,0.587]",6.443e-15,***,Triglycerides in Large HDL
XS-VLDL-PL,"0.483 [0.383,0.584]",1.241e-15,***,Phospholipids in Very Small VLDL
Non-HDL-C,"0.475 [0.376,0.575]",1.362e-15,***,Total-Cholesterol Minus HDL-C
IDL-TG,"0.467 [0.366,0.568]",2.800e-14,***,Triglycerides in IDL
L-LDL-TG,"0.462 [0.361,0.563]",6.359e-14,***,Triglycerides in Large LDL
VLDL-P,"0.457 [0.358,0.557]",5.563e-14,***,Concentration of VLDL Particles
L-LDL-L,"0.454 [0.355,0.554]",8.508e-14,***,Total-Lipids in Large LDL
HDL-P,"0.451 [0.346,0.557]",1.160e-11,***,Concentration of HDL Particles
VLDL-C,"0.450 [0.351,0.549]",1.439e-13,***,VLDL Cholesterol
S-VLDL-L,"0.448 [0.348,0.548]",3.962e-13,***,Total-Lipids in Small VLDL
M-VLDL-L,"0.446 [0.346,0.546]",3.703e-13,***,Total-Lipids in Medium VLDL
VLDL-CE,"0.446 [0.347,0.545]",2.485e-13,***,Cholesteryl Esters in VLDL
LDL-CE,"0.446 [0.347,0.545]",2.259e-13,***,Cholesteryl Esters in LDL
LDL-L,"0.446 [0.347,0.544]",2.414e-13,***,Total-Lipids in LDL
L-LDL-PL,"0.445 [0.346,0.544]",4.019e-13,***,Phospholipids in Large LDL
ApoA1,"0.444 [0.335,0.553]",2.834e-10,***,Apolipoprotein A1
M-LDL-CE,"0.443 [0.344,0.542]",3.815e-13,***,Cholesteryl Esters in Medium LDL
VLDL-L,"0.442 [0.340,0.543]",3.570e-12,***,Total-Lipids in VLDL
LDL-TG,"0.441 [0.340,0.542]",2.632e-12,***,Triglycerides in LDL
L-LDL-CE,"0.440 [0.341,0.540]",9.113e-13,***,Cholesteryl Esters in Large LDL
S-HDL-TG,"0.438 [0.335,0.542]",2.562e-11,***,Triglycerides in Small HDL
M-VLDL-PL,"0.438 [0.339,0.537]",1.015e-12,***,Phospholipids in Medium VLDL
VLDL-PL,"0.437 [0.336,0.538]",3.876e-12,***,Phospholipids in VLDL
IDL-P,"0.437 [0.337,0.536]",2.126e-12,***,Concentration of IDL Particles
L-LDL-C,"0.436 [0.336,0.536]",2.221e-12,***,Cholesterol in Large LDL
M-HDL-PL,"0.436 [0.330,0.542]",1.757e-10,***,Phospholipids in Medium HDL
VLDL-FC,"0.435 [0.335,0.535]",3.176e-12,***,Free Cholesterol in VLDL
LDL-C,"0.434 [0.335,0.533]",1.961e-12,***,LDL Cholesterol
IDL-FC,"0.434 [0.332,0.536]",1.732e-11,***,Free Cholesterol in IDL
S-VLDL-PL,"0.434 [0.335,0.533]",2.284e-12,***,Phospholipids in Small VLDL
M-LDL-L,"0.432 [0.333,0.531]",2.248e-12,***,Total-Lipids in Medium LDL
S-HDL-P,"0.431 [0.332,0.530]",4.193e-12,***,Concentration of Small HDL Particles
HDL-PL,"0.431 [0.321,0.541]",4.469e-09,***,Phospholipids in HDL
M-LDL-C,"0.427 [0.328,0.526]",5.305e-12,***,Cholesterol in Medium LDL
