Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,"78.323 [70.083,86.563]",1.620e-71,***,Creatinine
XL-HDL-FC%,"77.004 [68.698,85.309]",6.669e-68,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-C%,"58.855 [50.830,66.880]",2.764e-41,***,Cholesterol to Total-Lipids in Very Large HDL percentage
TG/PG,"56.334 [47.986,64.682]",1.979e-34,***,Triglycerides to Phosphoglycerides ratio
VLDL-size,"51.849 [43.618,60.079]",1.494e-29,***,Average Diameter for VLDL Particles
ApoB/ApoA1,"49.957 [41.794,58.120]",1.090e-27,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-HDL-TG%,"44.807 [36.404,53.211]",3.811e-20,***,Triglycerides to Total-Lipids in Very Large HDL percentage
L-HDL-TG%,"43.679 [35.376,51.983]",1.635e-19,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,"39.191 [30.912,47.471]",4.301e-15,***,Triglycerides to Total-Lipids in Small HDL percentage
L-VLDL-FC,"39.110 [30.846,47.373]",4.360e-15,***,Free Cholesterol in Large VLDL
L-VLDL-L,"38.578 [30.340,46.815]",1.078e-14,***,Total-Lipids in Large VLDL
L-VLDL-PL,"38.154 [29.863,46.445]",4.621e-14,***,Phospholipids in Large VLDL
L-VLDL-TG,"37.882 [29.633,46.131]",5.502e-14,***,Triglycerides in Large VLDL
Leu,"37.606 [29.594,45.617]",8.850e-15,***,Leucine
L-VLDL-P,"37.160 [28.880,45.439]",3.436e-13,***,Concentration of Large VLDL Particles
XL-VLDL-L,"37.115 [28.776,45.454]",6.581e-13,***,Total-Lipids in Very Large VLDL
Total-BCAA,"36.909 [28.740,45.079]",2.038e-13,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-HDL-PL%,"36.785 [28.163,45.406]",1.484e-11,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-VLDL-P,"36.572 [28.218,44.926]",2.298e-12,***,Concentration of Very Large VLDL Particles
Val,"36.364 [28.070,44.658]",2.053e-12,***,Valine
XL-VLDL-TG,"36.016 [27.641,44.392]",8.464e-12,***,Triglycerides in Very Large VLDL
XL-VLDL-PL,"35.852 [27.508,44.197]",8.996e-12,***,Phospholipids in Very Large VLDL
XL-VLDL-C,"35.471 [27.204,43.738]",9.909e-12,***,Cholesterol in Very Large VLDL
L-VLDL-C,"35.386 [27.185,43.588]",6.649e-12,***,Cholesterol in Large VLDL
XL-VLDL-CE,"34.804 [26.584,43.023]",2.516e-11,***,Cholesteryl Esters in Very Large VLDL
XL-VLDL-FC,"34.751 [26.427,43.076]",6.691e-11,***,Free Cholesterol in Very Large VLDL
VLDL-TG,"34.253 [25.949,42.556]",1.483e-10,***,Triglycerides in VLDL
M-VLDL-TG,"33.552 [25.340,41.763]",2.776e-10,***,Triglycerides in Medium VLDL
M-HDL-TG%,"32.412 [24.191,40.633]",2.604e-09,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,"31.351 [23.001,39.700]",4.361e-08,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-CE,"30.863 [22.512,39.214]",1.029e-07,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
L-VLDL-CE,"30.328 [22.171,38.486]",7.470e-08,***,Cholesteryl Esters in Large VLDL
XXL-VLDL-L,"29.940 [21.547,38.334]",6.378e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-TG,"29.294 [20.886,37.703]",2.009e-06,***,Triglycerides in Chylomicrons and Extremely Large VLDL
VLDL-L,"28.871 [20.622,37.120]",1.612e-06,***,Total-Lipids in VLDL
XXL-VLDL-C,"28.782 [20.411,37.153]",3.720e-06,***,Cholesterol in Chylomicrons and Extremely Large VLDL
