Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-PL%,0.79 [0.76-0.83],3.067e-22,***,Phospholipids to Total-Lipids in Very Large HDL percentage
XXL-VLDL-CE%,0.79 [0.76-0.83],1.893e-22,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.79 [0.76-0.83],1.950e-23,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-HDL-C%,0.79 [0.76-0.82],3.132e-25,***,Cholesterol to Total-Lipids in Small HDL percentage
VLDL-PL,0.78 [0.75-0.82],6.736e-24,***,Phospholipids in VLDL
L-VLDL-CE,0.78 [0.75-0.82],1.153e-24,***,Cholesteryl Esters in Large VLDL
PUFA%,0.78 [0.75-0.81],2.304e-25,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-CE,0.77 [0.74-0.81],5.599e-26,***,Cholesteryl Esters in Very Large VLDL
Omega-6/Omega-3,0.77 [0.74-0.81],4.181e-24,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
HDL-L,0.77 [0.74-0.81],2.097e-22,***,Total-Lipids in HDL
S-LDL-FC%,0.75 [0.72-0.77],8.254e-53,***,Free Cholesterol to Total-Lipids in Small LDL percentage
Total-P,0.75 [0.71-0.78],1.682e-33,***,Total-Concentration of Lipoprotein Particles
VLDL-P,0.74 [0.71-0.77],1.605e-38,***,Concentration of VLDL Particles
M-VLDL-L,0.73 [0.70-0.76],4.614e-43,***,Total-Lipids in Medium VLDL
HDL-CE,0.73 [0.70-0.76],3.756e-35,***,Cholesteryl Esters in HDL
Omega-6%,0.73 [0.70-0.76],5.446e-46,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL,0.73 [0.69-0.76],5.238e-33,***,Phospholipids in Large HDL
VLDL-FC,0.72 [0.69-0.76],8.327e-44,***,Free Cholesterol in VLDL
PUFA/MUFA,0.72 [0.69-0.76],5.757e-40,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
XL-VLDL-PL%,0.72 [0.70-0.74],1.415e-86,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
HDL-C,0.71 [0.68-0.75],3.927e-40,***,HDL Cholesterol
Phosphoglyc,0.70 [0.67-0.73],4.301e-53,***,Phosphoglycerides
HDL-size,0.69 [0.66-0.73],1.371e-40,***,Average Diameter for HDL Particles
