Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-C%,0.89 [0.88-0.91],1.764e-28,***,Cholesterol to Total-Lipids in Medium HDL percentage
LDL-size,0.89 [0.87-0.91],4.347e-31,***,Average Diameter for LDL Particles
Omega-6%,0.89 [0.87-0.91],1.117e-28,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-PL,0.89 [0.87-0.91],1.574e-28,***,Phospholipids in Large HDL
ApoA1,0.89 [0.87-0.90],9.706e-31,***,Apolipoprotein A1
S-HDL-C%,0.89 [0.87-0.90],1.087e-36,***,Cholesterol to Total-Lipids in Small HDL percentage
DHA,0.89 [0.87-0.90],2.723e-33,***,Docosahexaenoic Acid
PUFA%,0.88 [0.87-0.90],6.888e-30,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-FC,0.88 [0.87-0.90],2.525e-36,***,Free Cholesterol in Small HDL
XL-VLDL-PL%,0.88 [0.87-0.90],1.509e-49,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
SFA,0.88 [0.86-0.90],2.643e-34,***,Saturated Fatty Acids
S-VLDL-L,0.88 [0.86-0.89],4.611e-43,***,Total-Lipids in Small VLDL
HDL-L,0.88 [0.86-0.89],6.564e-36,***,Total-Lipids in HDL
L-VLDL-CE,0.87 [0.86-0.89],3.520e-46,***,Cholesteryl Esters in Large VLDL
XL-VLDL-CE,0.87 [0.86-0.89],2.114e-45,***,Cholesteryl Esters in Very Large VLDL
HDL-P,0.87 [0.86-0.89],7.420e-43,***,Concentration of HDL Particles
VLDL-PL,0.87 [0.86-0.89],1.931e-45,***,Phospholipids in VLDL
IDL-FC%,0.87 [0.85-0.88],6.582e-48,***,Free Cholesterol to Total-Lipids in IDL percentage
PUFA/MUFA,0.87 [0.85-0.89],8.185e-40,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-LDL-FC%,0.87 [0.85-0.88],1.099e-53,***,Free Cholesterol to Total-Lipids in Small LDL percentage
XL-HDL-CE%,0.87 [0.85-0.88],1.751e-43,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-L,0.87 [0.85-0.88],9.528e-42,***,Total-Lipids in Large HDL
XL-HDL-PL,0.86 [0.84-0.88],8.890e-52,***,Phospholipids in Very Large HDL
HDL-CE,0.86 [0.84-0.88],4.991e-49,***,Cholesteryl Esters in HDL
L-HDL-P,0.86 [0.84-0.87],9.595e-50,***,Concentration of Large HDL Particles
Total-FA,0.86 [0.84-0.87],1.181e-52,***,Total-Fatty Acids
L-VLDL-C%,0.86 [0.84-0.87],2.732e-64,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-CE,0.86 [0.84-0.87],1.482e-51,***,Cholesteryl Esters in Large HDL
M-LDL-FC%,0.85 [0.84-0.87],4.901e-58,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-FC,0.85 [0.84-0.87],3.988e-54,***,Free Cholesterol in Large HDL
L-HDL-C,0.85 [0.84-0.87],1.667e-53,***,Cholesterol in Large HDL
VLDL-P,0.85 [0.84-0.87],4.873e-66,***,Concentration of VLDL Particles
HDL-C,0.85 [0.83-0.87],8.565e-55,***,HDL Cholesterol
VLDL-FC,0.85 [0.83-0.86],1.625e-69,***,Free Cholesterol in VLDL
XL-VLDL-FC%,0.84 [0.82-0.85],3.753e-79,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
HDL-FC,0.84 [0.82-0.85],4.191e-67,***,Free Cholesterol in HDL
Total-P,0.84 [0.82-0.85],2.364e-74,***,Total-Concentration of Lipoprotein Particles
S-VLDL-CE,0.84 [0.82-0.85],3.973e-85,***,Cholesteryl Esters in Small VLDL
L-HDL-CE%,0.84 [0.82-0.85],1.706e-64,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
XS-VLDL-PL,0.84 [0.82-0.85],2.499e-83,***,Phospholipids in Very Small VLDL
XL-HDL-L,0.84 [0.82-0.85],4.325e-72,***,Total-Lipids in Very Large HDL
ApoB/ApoA1,0.83 [0.82-0.85],3.632e-81,***,Apolipoprotein B to Apolipoprotein A1 ratio
M-VLDL-L,0.83 [0.82-0.85],4.905e-85,***,Total-Lipids in Medium VLDL
L-VLDL-CE%,0.83 [0.81-0.84],1.530e-87,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-HDL-FC,0.83 [0.81-0.84],6.126e-89,***,Free Cholesterol in Very Large HDL
S-VLDL-PL,0.82 [0.81-0.84],4.406e-98,***,Phospholipids in Small VLDL
S-VLDL-CE%,0.82 [0.81-0.84],1.122e-106,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
XL-VLDL-CE%,0.82 [0.81-0.84],6.031e-93,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,0.82 [0.81-0.84],2.446e-93,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-P,0.82 [0.80-0.83],1.632e-90,***,Concentration of Very Large HDL Particles
S-VLDL-C,0.82 [0.80-0.83],1.602e-107,***,Cholesterol in Small VLDL
XL-HDL-CE,0.82 [0.80-0.83],1.695e-90,***,Cholesteryl Esters in Very Large HDL
S-HDL-FC%,0.82 [0.80-0.83],7.091e-100,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-HDL-C,0.82 [0.80-0.83],3.157e-93,***,Cholesterol in Very Large HDL
Phosphoglyc,0.81 [0.80-0.83],1.145e-95,***,Phosphoglycerides
M-VLDL-P,0.81 [0.80-0.83],2.501e-107,***,Concentration of Medium VLDL Particles
XS-VLDL-L,0.81 [0.80-0.83],1.016e-110,***,Total-Lipids in Very Small VLDL
XS-VLDL-P,0.81 [0.80-0.83],2.390e-113,***,Concentration of Very Small VLDL Particles
VLDL-C,0.81 [0.80-0.83],6.264e-116,***,VLDL Cholesterol
L-HDL-C%,0.81 [0.79-0.83],3.403e-92,***,Cholesterol to Total-Lipids in Large HDL percentage
M-VLDL-PL,0.80 [0.79-0.82],4.881e-123,***,Phospholipids in Medium VLDL
PC,0.80 [0.79-0.82],1.003e-109,***,Phosphatidylcholines
XS-VLDL-FC,0.80 [0.79-0.82],6.467e-127,***,Free Cholesterol in Very Small VLDL
S-LDL-C%,0.80 [0.78-0.81],1.219e-146,***,Cholesterol to Total-Lipids in Small LDL percentage
XS-VLDL-FC%,0.80 [0.78-0.81],7.843e-131,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
VLDL-CE,0.79 [0.78-0.81],1.330e-143,***,Cholesteryl Esters in VLDL
S-VLDL-FC,0.79 [0.78-0.81],2.383e-142,***,Free Cholesterol in Small VLDL
Cholines,0.79 [0.78-0.80],4.012e-128,***,Total-Cholines
M-VLDL-FC,0.79 [0.77-0.80],1.831e-148,***,Free Cholesterol in Medium VLDL
S-LDL-P,0.79 [0.77-0.80],2.251e-148,***,Concentration of Small LDL Particles
PUFA,0.79 [0.77-0.80],1.465e-137,***,Polyunsaturated Fatty Acids
M-LDL-CE,0.79 [0.77-0.80],2.912e-150,***,Cholesteryl Esters in Medium LDL
LA%,0.78 [0.77-0.80],4.414e-138,***,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-P,0.78 [0.77-0.80],7.534e-151,***,Concentration of Medium LDL Particles
M-LDL-PL,0.78 [0.77-0.80],2.799e-155,***,Phospholipids in Medium LDL
L-LDL-FC%,0.78 [0.77-0.80],9.274e-154,***,Free Cholesterol to Total-Lipids in Large LDL percentage
M-LDL-C%,0.78 [0.77-0.79],5.625e-183,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-LDL-L,0.78 [0.77-0.79],8.058e-162,***,Total-Lipids in Medium LDL
S-VLDL-C%,0.78 [0.77-0.79],2.146e-168,***,Cholesterol to Total-Lipids in Small VLDL percentage
Omega-6,0.78 [0.76-0.79],3.183e-153,***,Omega-6 Fatty Acids
S-LDL-CE,0.78 [0.76-0.79],2.335e-161,***,Cholesteryl Esters in Small LDL
M-LDL-C,0.77 [0.76-0.79],1.831e-171,***,Cholesterol in Medium LDL
S-LDL-PL,0.77 [0.76-0.79],9.423e-176,***,Phospholipids in Small LDL
S-LDL-L,0.77 [0.76-0.79],1.283e-173,***,Total-Lipids in Small LDL
M-HDL-FC%,0.77 [0.76-0.79],9.132e-131,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-FC%,0.77 [0.75-0.79],2.628e-138,***,Free Cholesterol to Total-Lipids in Large HDL percentage
Total-PL,0.77 [0.76-0.78],2.298e-161,***,Total-Phospholipids in Lipoprotein Particles
Total-L,0.77 [0.76-0.78],1.996e-170,***,Total-Lipids in Lipoprotein Particles
IDL-CE%,0.77 [0.76-0.78],1.865e-185,***,Cholesteryl Esters to Total-Lipids in IDL percentage
LDL-P,0.77 [0.76-0.78],3.761e-178,***,Concentration of LDL Particles
S-LDL-C,0.77 [0.75-0.78],1.160e-182,***,Cholesterol in Small LDL
L-LDL-P,0.77 [0.75-0.78],2.277e-182,***,Concentration of Large LDL Particles
LA,0.77 [0.75-0.78],6.167e-180,***,Linoleic Acid
XS-VLDL-C,0.76 [0.75-0.78],4.656e-188,***,Cholesterol in Very Small VLDL
M-VLDL-CE%,0.76 [0.75-0.78],3.147e-182,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
ApoB,0.76 [0.75-0.77],1.192e-198,***,Apolipoprotein B
S-LDL-FC,0.76 [0.75-0.77],1.898e-202,***,Free Cholesterol in Small LDL
IDL-C%,0.76 [0.75-0.77],4.751e-202,***,Cholesterol to Total-Lipids in IDL percentage
M-VLDL-C%,0.76 [0.75-0.77],1.075e-190,***,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC,0.76 [0.74-0.77],4.979e-202,***,Free Cholesterol in Medium LDL
M-VLDL-FC%,0.76 [0.74-0.77],1.199e-200,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-CE,0.76 [0.74-0.77],4.366e-204,***,Cholesteryl Esters in LDL
M-VLDL-PL%,0.76 [0.74-0.77],5.869e-211,***,Phospholipids to Total-Lipids in Medium VLDL percentage
SM,0.76 [0.74-0.77],2.308e-188,***,Sphingomyelins
LDL-PL,0.75 [0.74-0.77],1.966e-211,***,Phospholipids in LDL
M-VLDL-C,0.75 [0.74-0.77],1.157e-209,***,Cholesterol in Medium VLDL
XS-VLDL-CE,0.75 [0.74-0.77],4.026e-208,***,Cholesteryl Esters in Very Small VLDL
LDL-L,0.75 [0.74-0.77],3.316e-213,***,Total-Lipids in LDL
S-VLDL-PL%,0.75 [0.74-0.76],2.028e-210,***,Phospholipids to Total-Lipids in Small VLDL percentage
IDL-P,0.75 [0.74-0.76],3.327e-221,***,Concentration of IDL Particles
L-LDL-CE,0.75 [0.74-0.76],4.631e-216,***,Cholesteryl Esters in Large LDL
LDL-C,0.75 [0.73-0.76],1.251e-223,***,LDL Cholesterol
Remnant-C,0.75 [0.73-0.76],3.750e-227,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
L-LDL-L,0.74 [0.73-0.76],1.259e-227,***,Total-Lipids in Large LDL
L-LDL-PL,0.74 [0.73-0.76],3.997e-230,***,Phospholipids in Large LDL
L-LDL-C%,0.74 [0.73-0.76],1.331e-211,***,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC%,0.74 [0.73-0.76],1.959e-228,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Non-HDL-C,0.74 [0.73-0.75],4.644e-238,***,Total-Cholesterol Minus HDL-C
M-VLDL-CE,0.74 [0.73-0.75],2.263e-236,***,Cholesteryl Esters in Medium VLDL
L-LDL-C,0.74 [0.73-0.75],3.904e-235,***,Cholesterol in Large LDL
LDL-FC,0.74 [0.72-0.75],3.354e-246,***,Free Cholesterol in LDL
Clinical LDL-C,0.74 [0.72-0.75],8.462e-256,***,Clinical LDL Cholesterol
IDL-PL,0.73 [0.72-0.75],2.813e-247,***,Phospholipids in IDL
XS-VLDL-C%,0.73 [0.72-0.74],2.009e-238,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.73 [0.72-0.74],1.869e-238,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
Total-FC,0.73 [0.72-0.74],1.425e-250,***,Total-Free Cholesterol
L-LDL-FC,0.73 [0.72-0.74],3.088e-257,***,Free Cholesterol in Large LDL
IDL-FC,0.73 [0.71-0.74],3.072e-260,***,Free Cholesterol in IDL
Total-CE,0.72 [0.71-0.74],1.032e-263,***,Total-Esterified Cholesterol
Total-C,0.72 [0.71-0.73],1.240e-265,***,Total-Cholesterol
IDL-L,0.72 [0.71-0.73],1.387e-274,***,Total-Lipids in IDL
IDL-CE,0.71 [0.70-0.73],1.128e-290,***,Cholesteryl Esters in IDL
IDL-C,0.71 [0.70-0.73],4.083e-292,***,Cholesterol in IDL
