Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-CE%,0.88 [0.86-0.91],7.750e-17,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
Unsaturation,0.88 [0.86-0.91],2.702e-15,***,Degree of Unsaturation
M-HDL-FC,0.88 [0.86-0.90],8.189e-16,***,Free Cholesterol in Medium HDL
ApoA1,0.87 [0.85-0.90],4.503e-18,***,Apolipoprotein A1
XXL-VLDL-C%,0.87 [0.85-0.89],4.148e-21,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-VLDL-L,0.86 [0.84-0.89],5.845e-26,***,Total-Lipids in Small VLDL
HDL-P,0.86 [0.84-0.89],3.658e-23,***,Concentration of HDL Particles
Gly,0.86 [0.84-0.88],4.202e-28,***,Glycine
Total-FA,0.86 [0.84-0.88],9.665e-25,***,Total-Fatty Acids
VLDL-PL,0.86 [0.84-0.88],3.723e-28,***,Phospholipids in VLDL
XL-VLDL-CE,0.85 [0.83-0.88],9.853e-30,***,Cholesteryl Esters in Very Large VLDL
L-VLDL-CE,0.85 [0.83-0.87],1.621e-31,***,Cholesteryl Esters in Large VLDL
HDL-L,0.85 [0.82-0.87],1.677e-27,***,Total-Lipids in HDL
XXL-VLDL-CE%,0.84 [0.82-0.87],2.321e-35,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
M-HDL-C%,0.83 [0.81-0.86],4.274e-40,***,Cholesterol to Total-Lipids in Medium HDL percentage
XL-HDL-CE%,0.83 [0.81-0.85],3.767e-41,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
L-HDL-PL,0.83 [0.80-0.85],5.799e-36,***,Phospholipids in Large HDL
S-HDL-C%,0.82 [0.81-0.85],2.758e-49,***,Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-PL%,0.82 [0.81-0.84],6.468e-64,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
VLDL-P,0.82 [0.80-0.84],4.514e-49,***,Concentration of VLDL Particles
VLDL-FC,0.82 [0.80-0.84],2.041e-50,***,Free Cholesterol in VLDL
PUFA%,0.82 [0.80-0.84],4.877e-45,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
HDL-size,0.82 [0.79-0.84],1.226e-38,***,Average Diameter for HDL Particles
LDL-size,0.82 [0.80-0.84],2.922e-52,***,Average Diameter for LDL Particles
Total-P,0.81 [0.79-0.83],5.284e-49,***,Total-Concentration of Lipoprotein Particles
IDL-FC%,0.81 [0.79-0.83],9.253e-58,***,Free Cholesterol to Total-Lipids in IDL percentage
HDL-CE,0.81 [0.79-0.83],3.534e-46,***,Cholesteryl Esters in HDL
Omega-6%,0.80 [0.78-0.82],3.807e-57,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-L,0.80 [0.78-0.82],1.890e-62,***,Total-Lipids in Medium VLDL
HDL-C,0.80 [0.78-0.82],7.231e-52,***,HDL Cholesterol
S-LDL-FC%,0.80 [0.78-0.81],3.380e-82,***,Free Cholesterol to Total-Lipids in Small LDL percentage
PUFA/MUFA,0.79 [0.77-0.81],2.721e-57,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-VLDL-CE,0.79 [0.77-0.81],2.199e-74,***,Cholesteryl Esters in Small VLDL
L-HDL-L,0.79 [0.77-0.81],1.288e-54,***,Total-Lipids in Large HDL
Phosphoglyc,0.78 [0.76-0.81],3.099e-67,***,Phosphoglycerides
XS-VLDL-PL,0.78 [0.76-0.80],4.015e-80,***,Phospholipids in Very Small VLDL
S-VLDL-PL,0.78 [0.76-0.80],6.162e-81,***,Phospholipids in Small VLDL
HDL-FC,0.78 [0.76-0.80],8.510e-64,***,Free Cholesterol in HDL
L-HDL-P,0.77 [0.75-0.80],1.818e-63,***,Concentration of Large HDL Particles
M-VLDL-P,0.77 [0.75-0.79],1.651e-88,***,Concentration of Medium VLDL Particles
L-HDL-CE,0.77 [0.74-0.79],2.848e-70,***,Cholesteryl Esters in Large HDL
ApoB/ApoA1,0.76 [0.75-0.78],4.349e-89,***,Apolipoprotein B to Apolipoprotein A1 ratio
S-VLDL-C,0.76 [0.75-0.78],4.539e-96,***,Cholesterol in Small VLDL
L-VLDL-C%,0.76 [0.74-0.78],4.865e-101,***,Cholesterol to Total-Lipids in Large VLDL percentage
PC,0.76 [0.74-0.78],9.208e-85,***,Phosphatidylcholines
M-LDL-FC%,0.76 [0.74-0.78],1.490e-97,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-HDL-C,0.76 [0.74-0.78],1.067e-72,***,Cholesterol in Large HDL
VLDL-C,0.76 [0.74-0.78],5.228e-100,***,VLDL Cholesterol
L-HDL-FC,0.76 [0.74-0.78],2.773e-72,***,Free Cholesterol in Large HDL
L-HDL-CE%,0.76 [0.74-0.77],9.551e-101,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
PUFA,0.75 [0.73-0.77],1.043e-95,***,Polyunsaturated Fatty Acids
M-VLDL-PL,0.75 [0.73-0.77],1.871e-105,***,Phospholipids in Medium VLDL
XS-VLDL-L,0.75 [0.73-0.77],1.846e-107,***,Total-Lipids in Very Small VLDL
XL-HDL-PL,0.75 [0.73-0.77],2.520e-83,***,Phospholipids in Very Large HDL
XS-VLDL-P,0.75 [0.73-0.77],1.689e-109,***,Concentration of Very Small VLDL Particles
Cholines,0.75 [0.73-0.77],9.203e-101,***,Total-Cholines
S-LDL-C%,0.74 [0.72-0.76],5.751e-138,***,Cholesterol to Total-Lipids in Small LDL percentage
M-LDL-CE,0.73 [0.72-0.75],4.550e-123,***,Cholesteryl Esters in Medium LDL
XS-VLDL-FC,0.73 [0.71-0.75],6.081e-126,***,Free Cholesterol in Very Small VLDL
Omega-6,0.73 [0.71-0.75],2.567e-120,***,Omega-6 Fatty Acids
VLDL-CE,0.73 [0.71-0.75],2.288e-133,***,Cholesteryl Esters in VLDL
S-VLDL-CE%,0.73 [0.71-0.75],1.767e-153,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-VLDL-FC,0.73 [0.71-0.75],9.296e-131,***,Free Cholesterol in Small VLDL
S-HDL-FC%,0.73 [0.71-0.75],1.317e-121,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-LDL-L,0.73 [0.71-0.74],1.144e-136,***,Total-Lipids in Medium LDL
M-LDL-PL,0.72 [0.71-0.74],3.014e-135,***,Phospholipids in Medium LDL
M-LDL-P,0.72 [0.71-0.74],1.798e-130,***,Concentration of Medium LDL Particles
XL-VLDL-FC%,0.72 [0.70-0.74],1.956e-125,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC,0.72 [0.71-0.74],1.301e-134,***,Free Cholesterol in Medium VLDL
