Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-CE%,0.45 [0.40-0.51],1.785e-28,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-VLDL-C,0.44 [0.36-0.55],4.753e-09,***,Cholesterol in Large VLDL
XS-VLDL-CE%,0.44 [0.39-0.51],7.481e-30,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.44 [0.39-0.50],1.580e-28,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
S-LDL-CE%,0.44 [0.38-0.51],4.286e-23,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
M-LDL-C%,0.43 [0.39-0.49],2.180e-43,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.43 [0.38-0.49],2.286e-32,***,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-FC%,0.42 [0.37-0.49],1.107e-27,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Cholines,0.42 [0.36-0.50],3.712e-19,***,Total-Cholines
XL-VLDL-C,0.42 [0.34-0.52],8.195e-10,***,Cholesterol in Very Large VLDL
VLDL-PL,0.41 [0.34-0.51],7.438e-13,***,Phospholipids in VLDL
XS-VLDL-L,0.41 [0.34-0.50],1.098e-14,***,Total-Lipids in Very Small VLDL
S-VLDL-PL%,0.41 [0.35-0.48],2.673e-24,***,Phospholipids to Total-Lipids in Small VLDL percentage
S-LDL-C%,0.40 [0.36-0.45],3.219e-45,***,Cholesterol to Total-Lipids in Small LDL percentage
L-VLDL-CE,0.39 [0.32-0.49],9.567e-13,***,Cholesteryl Esters in Large VLDL
ApoB/ApoA1,0.38 [0.31-0.46],2.255e-16,***,Apolipoprotein B to Apolipoprotein A1 ratio
XS-VLDL-P,0.38 [0.31-0.47],3.565e-15,***,Concentration of Very Small VLDL Particles
Total-PL,0.38 [0.32-0.45],4.385e-25,***,Total-Phospholipids in Lipoprotein Particles
PUFA,0.38 [0.32-0.44],2.963e-25,***,Polyunsaturated Fatty Acids
VLDL-P,0.38 [0.30-0.47],7.163e-14,***,Concentration of VLDL Particles
XS-VLDL-FC,0.37 [0.31-0.46],2.737e-16,***,Free Cholesterol in Very Small VLDL
LA,0.36 [0.31-0.43],6.191e-29,***,Linoleic Acid
Total-L,0.36 [0.31-0.43],1.134e-30,***,Total-Lipids in Lipoprotein Particles
Omega-6,0.36 [0.31-0.43],8.566e-28,***,Omega-6 Fatty Acids
M-VLDL-L,0.36 [0.30-0.44],1.068e-19,***,Total-Lipids in Medium VLDL
S-VLDL-CE,0.36 [0.29-0.44],7.216e-17,***,Cholesteryl Esters in Small VLDL
