Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Phosphoglyc,0.51 [0.43-0.60],1.710e-09,***,Phosphoglycerides
S-LDL-P,0.51 [0.42-0.61],2.163e-07,***,Concentration of Small LDL Particles
XL-HDL-L,0.51 [0.41-0.63],9.606e-05,***,Total-Lipids in Very Large HDL
S-LDL-CE,0.51 [0.42-0.61],6.865e-08,***,Cholesteryl Esters in Small LDL
S-VLDL-FC%,0.50 [0.44-0.58],1.593e-14,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
PUFA,0.50 [0.42-0.59],3.915e-10,***,Polyunsaturated Fatty Acids
IDL-CE%,0.50 [0.44-0.57],1.390e-18,***,Cholesteryl Esters to Total-Lipids in IDL percentage
HDL-FC,0.50 [0.41-0.61],7.287e-06,***,Free Cholesterol in HDL
M-LDL-P,0.50 [0.41-0.60],9.794e-08,***,Concentration of Medium LDL Particles
S-VLDL-PL%,0.50 [0.43-0.58],1.473e-12,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-FC,0.50 [0.41-0.60],8.029e-08,***,Free Cholesterol in Medium VLDL
S-LDL-C,0.50 [0.41-0.59],2.914e-09,***,Cholesterol in Small LDL
S-LDL-FC,0.50 [0.42-0.59],2.399e-10,***,Free Cholesterol in Small LDL
PC,0.49 [0.41-0.58],8.790e-11,***,Phosphatidylcholines
XS-VLDL-FC,0.49 [0.41-0.59],2.142e-08,***,Free Cholesterol in Very Small VLDL
LDL-L,0.49 [0.42-0.57],2.877e-13,***,Total-Lipids in LDL
XS-VLDL-CE%,0.49 [0.43-0.56],3.073e-21,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LDL-CE,0.49 [0.41-0.57],2.315e-12,***,Cholesteryl Esters in LDL
M-HDL-FC%,0.48 [0.41-0.57],2.273e-13,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-C%,0.48 [0.42-0.55],2.946e-20,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-L,0.48 [0.41-0.57],1.497e-13,***,Total-Lipids in Lipoprotein Particles
LDL-P,0.48 [0.40-0.58],3.610e-09,***,Concentration of LDL Particles
ApoB,0.48 [0.40-0.57],1.323e-11,***,Apolipoprotein B
Omega-6,0.48 [0.40-0.57],2.103e-12,***,Omega-6 Fatty Acids
Cholines,0.48 [0.40-0.57],1.679e-12,***,Total-Cholines
LDL-C,0.48 [0.41-0.56],5.061e-14,***,LDL Cholesterol
XL-HDL-C,0.48 [0.38-0.59],3.235e-06,***,Cholesterol in Very Large HDL
