Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,3.16 [2.86-3.49],3.012e-109,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG%,3.03 [2.82-3.25],4.060e-192,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-VLDL-TG%,3.03 [2.80-3.26],1.846e-174,***,Triglycerides to Total-Lipids in Small VLDL percentage
XS-VLDL-TG%,3.02 [2.83-3.24],5.002e-218,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,2.65 [2.49-2.82],5.934e-207,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,2.52 [2.37-2.67],3.805e-192,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,2.28 [2.15-2.41],7.500e-171,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,2.20 [2.07-2.33],2.497e-150,***,Phospholipids to Total-Lipids in Large HDL percentage
Glu-lactate,2.18 [2.07-2.30],2.133e-170,***,Glucose-lactate
Glu,2.15 [2.02-2.28],3.478e-125,***,Glucose
XS-VLDL-PL%,2.13 [2.00-2.27],6.102e-119,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
Sc-ala,2.07 [1.96-2.19],6.247e-137,***,Spectrometer-corrected alanine
S-LDL-TG%,2.03 [1.91-2.15],9.220e-117,***,Triglycerides to Total-Lipids in Small LDL percentage
Ala,1.90 [1.79-2.01],7.370e-96,***,Alanine
MUFA%,1.73 [1.61-1.85],6.898e-49,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-VLDL-TG%,1.72 [1.61-1.84],2.094e-53,***,Triglycerides to Total-Lipids in Large VLDL percentage
XL-HDL-FC%,1.70 [1.59-1.82],3.959e-48,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
M-HDL-PL%,1.65 [1.55-1.75],8.237e-50,***,Phospholipids to Total-Lipids in Medium HDL percentage
XL-HDL-TG%,1.59 [1.50-1.70],1.660e-42,***,Triglycerides to Total-Lipids in Very Large HDL percentage
IDL-PL%,1.58 [1.49-1.69],2.454e-42,***,Phospholipids to Total-Lipids in IDL percentage
TG/PG,1.52 [1.43-1.63],3.574e-31,***,Triglycerides to Phosphoglycerides ratio
L-HDL-TG%,1.52 [1.42-1.62],9.406e-29,***,Triglycerides to Total-Lipids in Large HDL percentage
S-HDL-TG%,1.49 [1.39-1.59],8.560e-27,***,Triglycerides to Total-Lipids in Small HDL percentage
XXL-VLDL-PL%,1.41 [1.32-1.52],1.804e-17,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
VLDL-size,1.40 [1.31-1.50],1.713e-17,***,Average Diameter for VLDL Particles
Val,1.34 [1.26-1.42],2.786e-16,***,Valine
Citrate,1.32 [1.24-1.40],4.401e-14,***,Citrate
M-HDL-TG%,1.31 [1.23-1.40],3.946e-10,***,Triglycerides to Total-Lipids in Medium HDL percentage
Total-BCAA,1.31 [1.23-1.39],1.538e-13,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
S-LDL-PL%,1.30 [1.23-1.39],1.883e-11,***,Phospholipids to Total-Lipids in Small LDL percentage
Leu,1.26 [1.19-1.34],1.516e-09,***,Leucine
GlycA,1.25 [1.17-1.34],4.514e-06,***,Glycoprotein Acetyls
Ile,1.23 [1.16-1.30],3.677e-07,***,Isoleucine
S-HDL-TG,1.22 [1.15-1.30],6.643e-06,***,Triglycerides in Small HDL
Lactate,1.22 [1.15-1.30],5.753e-05,***,Lactate
S-HDL-PL%,1.21 [1.13-1.29],0.004,**,Phospholipids to Total-Lipids in Small HDL percentage
XL-VLDL-TG,1.18 [1.11-1.25],0.021,*,Triglycerides in Very Large VLDL
S-HDL-PL,0.84 [0.79-0.90],0.021,*,Phospholipids in Small HDL
XL-HDL-TG,0.83 [0.77-0.88],0.004,**,Triglycerides in Very Large HDL
S-HDL-CE%,0.82 [0.77-0.87],1.544e-05,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
