Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.504 [0.476 - 0.542],0.498 [0.496 - 0.500],0.496 [0.452 - 0.557],0.498 [0.496 - 0.500],0.001 [0.001 - 0.002],-0.006 [-0.051 - 0.055],0.003 [0.002 - 0.003]
Demographic,0.532 [0.497 - 0.568],0.524 [0.522 - 0.526],0.526 [0.464 - 0.592],0.524 [0.522 - 0.526],0.002 [0.001 - 0.002],0.049 [-0.010 - 0.116],0.003 [0.003 - 0.004]
Metabolite+Demographic,0.513 [0.484 - 0.550],0.506 [0.504 - 0.508],0.510 [0.464 - 0.562],0.506 [0.504 - 0.508],0.001 [0.001 - 0.002],0.015 [-0.030 - 0.068],0.003 [0.002 - 0.003]
