Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.587 [0.573 - 0.599],0.565 [0.563 - 0.567],0.567 [0.543 - 0.589],0.565 [0.563 - 0.567],0.012 [0.012 - 0.013],0.133 [0.108 - 0.155],0.024 [0.023 - 0.026]
Demographic,0.621 [0.610 - 0.633],0.594 [0.592 - 0.596],0.592 [0.571 - 0.615],0.594 [0.592 - 0.596],0.014 [0.013 - 0.015],0.186 [0.164 - 0.209],0.027 [0.026 - 0.028]
Metabolite+Demographic,0.628 [0.615 - 0.641],0.592 [0.591 - 0.594],0.592 [0.567 - 0.615],0.592 [0.590 - 0.594],0.014 [0.013 - 0.015],0.184 [0.161 - 0.208],0.027 [0.025 - 0.029]
