Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.505 [0.472 - 0.542],0.509 [0.507 - 0.512],0.511 [0.460 - 0.588],0.509 [0.507 - 0.512],0.001 [0.001 - 0.001],0.021 [-0.032 - 0.096],0.002 [0.001 - 0.002]
Demographic,0.556 [0.527 - 0.598],0.558 [0.556 - 0.560],0.561 [0.503 - 0.640],0.558 [0.556 - 0.560],0.001 [0.001 - 0.001],0.120 [0.062 - 0.199],0.002 [0.002 - 0.003]
Metabolite+Demographic,0.562 [0.523 - 0.598],0.548 [0.546 - 0.550],0.549 [0.490 - 0.629],0.548 [0.546 - 0.550],0.001 [0.001 - 0.001],0.097 [0.038 - 0.176],0.002 [0.002 - 0.003]
