Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.567 [0.526 - 0.615],0.546 [0.543 - 0.548],0.546 [0.489 - 0.619],0.546 [0.543 - 0.548],0.001 [0.001 - 0.002],0.092 [0.036 - 0.166],0.003 [0.002 - 0.003]
Demographic,0.682 [0.641 - 0.715],0.634 [0.632 - 0.636],0.630 [0.565 - 0.693],0.634 [0.632 - 0.636],0.002 [0.002 - 0.002],0.263 [0.199 - 0.328],0.004 [0.003 - 0.005]
Metabolite+Demographic,0.685 [0.642 - 0.724],0.647 [0.645 - 0.649],0.647 [0.572 - 0.713],0.647 [0.645 - 0.649],0.002 [0.002 - 0.002],0.294 [0.219 - 0.360],0.004 [0.003 - 0.005]
