Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.714 [0.705 - 0.722],0.657 [0.655 - 0.659],0.656 [0.637 - 0.670],0.657 [0.655 - 0.659],0.028 [0.027 - 0.029],0.312 [0.294 - 0.328],0.054 [0.052 - 0.056]
Demographic,0.878 [0.872 - 0.883],0.804 [0.803 - 0.806],0.804 [0.791 - 0.817],0.804 [0.803 - 0.806],0.059 [0.057 - 0.061],0.608 [0.595 - 0.621],0.110 [0.106 - 0.114]
Metabolite+Demographic,0.878 [0.872 - 0.883],0.804 [0.802 - 0.805],0.804 [0.791 - 0.818],0.804 [0.802 - 0.805],0.059 [0.056 - 0.061],0.607 [0.595 - 0.621],0.109 [0.106 - 0.113]
