Type,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Metabolite,0.560 [0.514 - 0.620],0.539 [0.536 - 0.541],0.540 [0.444 - 0.637],0.539 [0.536 - 0.541],0.001 [0.000 - 0.001],0.079 [-0.017 - 0.176],0.001 [0.001 - 0.002]
Demographic,0.589 [0.540 - 0.627],0.565 [0.564 - 0.568],0.568 [0.487 - 0.639],0.565 [0.564 - 0.568],0.001 [0.001 - 0.001],0.133 [0.053 - 0.206],0.001 [0.001 - 0.002]
Metabolite+Demographic,0.597 [0.541 - 0.650],0.564 [0.563 - 0.566],0.568 [0.493 - 0.648],0.564 [0.563 - 0.566],0.001 [0.001 - 0.001],0.131 [0.058 - 0.213],0.001 [0.001 - 0.002]
