Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-CE%,0.94 [0.93-0.95],2.617e-20,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
M-HDL-L,0.94 [0.93-0.95],1.043e-19,***,Total-Lipids in Medium HDL
L-HDL-FC,0.94 [0.93-0.95],1.629e-16,***,Free Cholesterol in Large HDL
S-HDL-CE%,0.94 [0.93-0.95],2.943e-23,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
Total-BCAA,0.94 [0.93-0.95],4.163e-21,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
IDL-FC%,0.94 [0.93-0.95],4.223e-24,***,Free Cholesterol to Total-Lipids in IDL percentage
L-HDL-P,0.94 [0.92-0.95],2.324e-17,***,Concentration of Large HDL Particles
SFA,0.94 [0.93-0.95],2.070e-23,***,Saturated Fatty Acids
L-HDL-CE,0.94 [0.92-0.95],3.073e-18,***,Cholesteryl Esters in Large HDL
L-HDL-C,0.94 [0.92-0.95],3.060e-18,***,Cholesterol in Large HDL
L-HDL-FC%,0.94 [0.92-0.95],3.912e-23,***,Free Cholesterol to Total-Lipids in Large HDL percentage
S-HDL-PL,0.93 [0.92-0.95],6.856e-26,***,Phospholipids in Small HDL
XL-HDL-P,0.93 [0.92-0.95],1.900e-20,***,Concentration of Very Large HDL Particles
HDL-PL,0.93 [0.92-0.95],2.570e-22,***,Phospholipids in HDL
XL-HDL-C,0.93 [0.92-0.95],1.837e-21,***,Cholesterol in Very Large HDL
VLDL-P,0.93 [0.92-0.94],4.106e-28,***,Concentration of VLDL Particles
M-HDL-P,0.93 [0.92-0.94],5.374e-24,***,Concentration of Medium HDL Particles
DHA%,0.93 [0.92-0.94],3.245e-26,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
ApoB/ApoA1,0.93 [0.92-0.94],1.738e-28,***,Apolipoprotein B to Apolipoprotein A1 ratio
Omega-3%,0.93 [0.92-0.94],4.532e-28,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-HDL-C%,0.93 [0.92-0.94],4.446e-26,***,Cholesterol to Total-Lipids in Large HDL percentage
S-LDL-FC%,0.93 [0.92-0.94],9.375e-31,***,Free Cholesterol to Total-Lipids in Small LDL percentage
PUFA%,0.93 [0.92-0.94],7.635e-27,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-HDL-CE,0.93 [0.92-0.94],6.523e-23,***,Cholesteryl Esters in Very Large HDL
M-HDL-CE,0.93 [0.92-0.94],3.900e-26,***,Cholesteryl Esters in Medium HDL
S-LDL-CE%,0.93 [0.92-0.94],3.089e-32,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
L-LDL-CE%,0.93 [0.92-0.94],8.514e-34,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-FC%,0.93 [0.92-0.94],4.168e-29,***,Free Cholesterol to Total-Lipids in Small HDL percentage
XL-VLDL-C%,0.93 [0.92-0.94],6.375e-29,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-LDL-FC%,0.93 [0.92-0.94],1.715e-30,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-FC,0.93 [0.92-0.94],6.640e-33,***,Free Cholesterol in VLDL
M-HDL-C,0.93 [0.92-0.94],5.860e-28,***,Cholesterol in Medium HDL
Val,0.93 [0.92-0.94],1.260e-29,***,Valine
XL-VLDL-CE%,0.93 [0.92-0.94],1.292e-30,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-HDL-C%,0.93 [0.91-0.94],7.107e-31,***,Cholesterol to Total-Lipids in Medium HDL percentage
XS-VLDL-L,0.93 [0.92-0.94],1.269e-33,***,Total-Lipids in Very Small VLDL
XS-VLDL-FC%,0.93 [0.92-0.94],1.747e-35,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
Total-FA,0.93 [0.91-0.94],3.184e-34,***,Total-Fatty Acids
S-VLDL-CE%,0.93 [0.91-0.94],1.066e-36,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
S-HDL-L,0.92 [0.91-0.93],5.589e-37,***,Total-Lipids in Small HDL
S-VLDL-CE,0.92 [0.91-0.93],1.084e-37,***,Cholesteryl Esters in Small VLDL
M-HDL-FC,0.92 [0.91-0.93],4.459e-31,***,Free Cholesterol in Medium HDL
XS-VLDL-P,0.92 [0.91-0.93],1.108e-37,***,Concentration of Very Small VLDL Particles
S-HDL-C%,0.92 [0.91-0.93],4.787e-40,***,Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-FC,0.92 [0.91-0.93],8.264e-40,***,Free Cholesterol in Very Small VLDL
HDL-L,0.92 [0.91-0.93],1.388e-32,***,Total-Lipids in HDL
M-VLDL-L,0.92 [0.91-0.93],2.005e-45,***,Total-Lipids in Medium VLDL
ApoA1,0.92 [0.90-0.93],3.942e-38,***,Apolipoprotein A1
S-VLDL-PL,0.92 [0.90-0.93],9.905e-47,***,Phospholipids in Small VLDL
PUFA/MUFA,0.91 [0.90-0.93],3.516e-41,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
S-VLDL-C,0.91 [0.90-0.92],1.151e-49,***,Cholesterol in Small VLDL
VLDL-C,0.91 [0.90-0.92],8.757e-52,***,VLDL Cholesterol
LA%,0.91 [0.90-0.92],2.457e-46,***,Linoleic Acid to Total-Fatty Acids percentage
Omega-3,0.91 [0.90-0.92],5.767e-50,***,Omega-3 Fatty Acids
XL-HDL-CE%,0.91 [0.90-0.92],4.890e-54,***,Cholesteryl Esters to Total-Lipids in Very Large HDL percentage
M-VLDL-P,0.91 [0.90-0.92],9.464e-56,***,Concentration of Medium VLDL Particles
HDL-FC,0.91 [0.90-0.92],7.962e-43,***,Free Cholesterol in HDL
S-HDL-FC,0.91 [0.90-0.92],4.924e-55,***,Free Cholesterol in Small HDL
HDL-CE,0.91 [0.89-0.92],4.895e-44,***,Cholesteryl Esters in HDL
HDL-C,0.90 [0.89-0.92],1.248e-45,***,HDL Cholesterol
S-HDL-CE,0.90 [0.89-0.92],7.696e-61,***,Cholesteryl Esters in Small HDL
M-VLDL-PL,0.90 [0.89-0.91],6.397e-61,***,Phospholipids in Medium VLDL
VLDL-CE,0.90 [0.89-0.91],1.733e-62,***,Cholesteryl Esters in VLDL
M-VLDL-CE%,0.90 [0.89-0.91],4.559e-60,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
S-HDL-P,0.90 [0.89-0.91],8.480e-63,***,Concentration of Small HDL Particles
Unsaturation,0.90 [0.89-0.91],7.018e-56,***,Degree of Unsaturation
S-HDL-C,0.90 [0.89-0.91],2.149e-64,***,Cholesterol in Small HDL
S-VLDL-C%,0.90 [0.89-0.91],2.511e-67,***,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-P,0.90 [0.89-0.91],1.336e-59,***,Concentration of HDL Particles
M-VLDL-C%,0.90 [0.89-0.91],6.865e-65,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-FC,0.90 [0.89-0.91],2.522e-69,***,Free Cholesterol in Small VLDL
M-VLDL-FC,0.90 [0.89-0.91],1.614e-72,***,Free Cholesterol in Medium VLDL
M-VLDL-FC%,0.90 [0.88-0.91],4.085e-70,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XS-VLDL-C,0.90 [0.88-0.91],1.839e-70,***,Cholesterol in Very Small VLDL
M-VLDL-PL%,0.89 [0.88-0.90],1.173e-75,***,Phospholipids to Total-Lipids in Medium VLDL percentage
Phosphoglyc,0.89 [0.88-0.90],1.690e-70,***,Phosphoglycerides
S-LDL-P,0.89 [0.88-0.90],3.289e-79,***,Concentration of Small LDL Particles
DHA,0.89 [0.88-0.90],9.674e-70,***,Docosahexaenoic Acid
Albumin,0.89 [0.88-0.90],3.728e-83,***,Albumin
